gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,geometry,traffic_noise,railway_noise,airport_noise,heating_score
53548,2365,Gurių Sodų 12-oji g.,60,Naujoji Vilnia,Vilnius,25.34803,54.65516,Gurių Sodų 12-oji g. 60,POINT (25.34803 54.65516),0-34,35-39,0-34,
53552,2367,Gurių Sodų 14-oji g.,61,Naujoji Vilnia,Vilnius,25.34871,54.6551,Gurių Sodų 14-oji g. 61,POINT (25.34871 54.6551),0-34,35-39,0-34,
53678,2430,Kelmijos Sodų 20-oji g.,28,Naujininkai,Vilnius,25.24765,54.60321,Kelmijos Sodų 20-oji g. 28,POINT (25.24765 54.60321),0-34,40-44,55-59,
59938,2593,Uosių Sodų 28-oji g.,10,Naujoji Vilnia,Vilnius,25.39137,54.70097,Uosių Sodų 28-oji g. 10,POINT (25.39137 54.70097),45-49,45-49,35-39,
50616,1851,Bališkių g.,29,Paneriai,Vilnius,25.1003,54.64478,Bališkių g. 29,POINT (25.1003 54.64478),0-34,50-54,35-39,
53658,2420,Kelmijos Sodų 10-oji g.,55,Naujininkai,Vilnius,25.24685,54.60328,Kelmijos Sodų 10-oji g. 55,POINT (25.24685 54.60328),0-34,40-44,55-59,
67416,2771,S. Šilingo g.,141B,Naujoji Vilnia,Vilnius,25.40252,54.67309,S. Šilingo g. 141B,POINT (25.40252 54.67309),0-34,50-54,0-34,
50760,1923,Krakiškių Sodų 21-oji g.,18,Verkiai,Vilnius,25.3355,54.7928,Krakiškių Sodų 21-oji g. 18,POINT (25.3355 54.7928),0-34,0-34,40-44,
50760,1923,Krakiškių Sodų 21-oji g.,11,Verkiai,Vilnius,25.33578,54.79261,Krakiškių Sodų 21-oji g. 11,POINT (25.33578 54.79261),0-34,0-34,40-44,
50758,1922,Krakiškių Sodų 20-oji g.,18,Verkiai,Vilnius,25.33846,54.79249,Krakiškių Sodų 20-oji g. 18,POINT (25.33846 54.79249),0-34,0-34,40-44,
50760,1923,Krakiškių Sodų 21-oji g.,13,Verkiai,Vilnius,25.3356,54.79251,Krakiškių Sodų 21-oji g. 13,POINT (25.3356 54.79251),0-34,0-34,40-44,
50758,1922,Krakiškių Sodų 20-oji g.,8,Verkiai,Vilnius,25.33815,54.7925,Krakiškių Sodų 20-oji g. 8,POINT (25.33815 54.7925),0-34,0-34,40-44,
50758,1922,Krakiškių Sodų 20-oji g.,38,Verkiai,Vilnius,25.34143,54.79292,Krakiškių Sodų 20-oji g. 38,POINT (25.34143 54.79292),0-34,0-34,40-44,
53368,2275,Rudausių Sodų 8-oji g.,13,Antakalnis,Vilnius,25.36717,54.7599,Rudausių Sodų 8-oji g. 13,POINT (25.36717 54.7599),50-54,0-34,45-49,
50758,1922,Krakiškių Sodų 20-oji g.,23,Verkiai,Vilnius,25.33945,54.79233,Krakiškių Sodų 20-oji g. 23,POINT (25.33945 54.79233),0-34,0-34,40-44,
53368,2275,Rudausių Sodų 8-oji g.,11,Antakalnis,Vilnius,25.36758,54.75977,Rudausių Sodų 8-oji g. 11,POINT (25.36758 54.75977),50-54,0-34,45-49,
22384,545,Titnago g.,39,Paneriai,Vilnius,25.17753,54.66668,Titnago g. 39,POINT (25.17753 54.66668),65-69,35-39,0-34,
50758,1922,Krakiškių Sodų 20-oji g.,9,Verkiai,Vilnius,25.33805,54.7921,Krakiškių Sodų 20-oji g. 9,POINT (25.33805 54.7921),0-34,0-34,40-44,
22384,545,Titnago g.,35,Paneriai,Vilnius,25.17623,54.66601,Titnago g. 35,POINT (25.17623 54.66601),65-69,35-39,0-34,
22407,570,Uosių g.,22A,Naujoji Vilnia,Vilnius,25.39439,54.70149,Uosių g. 22A,POINT (25.39439 54.70149),0-34,35-39,0-34,
22407,570,Uosių g.,20,Naujoji Vilnia,Vilnius,25.3954,54.70126,Uosių g. 20,POINT (25.3954 54.70126),0-34,40-44,0-34,
22523,693,Žirgo g.,1,Antakalnis,Vilnius,25.32105,54.72248,Žirgo g. 1,POINT (25.32105 54.72248),55-59,0-34,45-49,5.0
22523,693,Žirgo g.,1B,Antakalnis,Vilnius,25.3207,54.72277,Žirgo g. 1B,POINT (25.3207 54.72277),60-64,0-34,45-49,
22214,369,Nemenčinės pl.,15F,Antakalnis,Vilnius,25.33227,54.72935,Nemenčinės pl. 15F,POINT (25.33227 54.72935),55-59,0-34,45-49,
22214,369,Nemenčinės pl.,13A,Antakalnis,Vilnius,25.33004,54.7291,Nemenčinės pl. 13A,POINT (25.33004 54.7291),70-74,0-34,45-49,
22214,369,Nemenčinės pl.,1C,Antakalnis,Vilnius,25.31953,54.72202,Nemenčinės pl. 1C,POINT (25.31953 54.72202),65-69,0-34,45-49,
22523,693,Žirgo g.,1C,Antakalnis,Vilnius,25.32031,54.72248,Žirgo g. 1C,POINT (25.32031 54.72248),60-64,0-34,45-49,
53438,2310,Eišiškių Sodų 8-oji g.,8,Naujininkai,Vilnius,25.25048,54.62414,Eišiškių Sodų 8-oji g. 8,POINT (25.25048 54.62414),55-59,35-39,40-44,
