origin_lon,origin_lat,distance_akropolis,time_akropolis,distance_cathedral,time_cathedral,distance_kirtimai,time_kirtimai,distance_shopping_center,time_shopping_center,distance_train_station,time_train_station
25.21257,54.74336,6.26597,12.610166666666666,9.80561,18.993,16.607830000000003,20.056500000000003,8.35975,16.581833333333332,11.3723,21.610666666666667
25.21296,54.74325,6.23811,12.498833333333332,9.77775,18.881666666666668,16.57997,19.945,8.33189,16.4705,11.34444,21.499333333333333
25.21301,54.74323,6.23424,12.483333333333333,9.773879999999998,18.86616666666667,16.57611,19.929666666666666,8.32803,16.455,11.34058,21.483833333333333
25.21232,54.74343,6.2838,12.6815,9.82344,19.06433333333333,16.62567,20.127666666666666,8.37759,16.653166666666667,11.390139999999999,21.682000000000002
25.21245,54.74339,6.27435,12.643666666666666,9.81399,19.0265,16.616220000000002,20.09,8.368139999999999,16.615333333333332,11.380690000000001,21.644333333333336
25.21238,54.74341,6.27936,12.663833333333335,9.819,19.046666666666667,16.62123,20.11,8.373149999999999,16.6355,11.3857,21.66433333333333
25.21251,54.74338,6.2703999999999995,12.627833333333333,9.81004,19.010833333333334,16.61227,20.074166666666667,8.36419,16.599666666666668,11.37674,21.6285
25.22681,54.74842,5.9591199999999995,12.2395,9.49876,18.622333333333334,16.30098,19.685833333333335,8.0529,16.211166666666667,11.06545,21.240166666666667
25.29354,54.71517,3.28309,6.443833333333333,3.35529,7.679333333333333,17.91281,26.711833333333335,2.92288,6.3068333333333335,6.45143,13.753833333333334
25.35757,54.65001,13.44132,22.230666666666664,9.85555,17.613333333333333,19.31305,25.697,10.93025,19.4725,7.49366,11.812999999999999
25.09279,54.64989,17.31005,28.134666666666664,16.32375,29.493333333333332,6.66507,12.3295,17.56592,28.423000000000002,14.70066,26.619500000000002
25.09274,54.64964,17.33804,28.302500000000002,16.35173,29.661166666666666,6.69305,12.4975,17.5939,28.591,14.72865,26.787333333333333
25.38247,54.72313,11.46675,24.046666666666667,10.86305,21.944333333333336,22.58391,41.68066666666667,11.0704,23.009333333333334,11.13208,23.178333333333335
25.33639,54.73941,7.31691,14.576333333333334,7.64379,14.617166666666666,21.946630000000003,34.844500000000004,7.85115,15.682166666666665,10.28285,20.208833333333335
25.15348,54.72656,9.058860000000001,16.478666666666665,11.497959999999999,22.3745,14.78753,20.8725,10.35486,19.632166666666667,14.20656,24.21333333333333
25.07635,54.60306,21.43871,28.272,19.03755,29.016333333333332,6.90153,8.916500000000001,21.694580000000002,28.5605,17.41447,26.1425
25.37632,54.7519,10.89991,20.07016666666667,11.226790000000001,20.110833333333336,25.52963,40.338166666666666,11.434149999999999,21.176,13.86585,25.70266666666667
25.23662,54.75515,8.19984,13.1105,11.62275,19.8635,18.9544,22.1965,10.17689,17.452333333333335,13.189440000000001,22.481166666666663
25.27702,54.68531,4.53913,8.464666666666666,1.3503900000000002,3.928,14.055860000000001,20.486,2.02806,5.706666666666666,3.02981,6.025
25.23372,54.67356,7.54332,13.899833333333333,5.4298,13.071666666666665,10.271180000000001,14.526666666666667,6.49512,13.111666666666668,4.4741800000000005,10.403333333333334
25.29341,54.71474,3.24032,6.4719999999999995,3.31252,7.7075,17.87004,26.740166666666667,2.88011,6.335,6.40866,13.782
25.28802,54.61223,14.33111,25.636000000000003,10.74534,21.018833333333337,12.70495,17.952333333333335,11.82004,22.878,8.38345,15.218333333333334
25.288,54.6124,14.31217,25.560166666666664,10.7264,20.942999999999998,12.68601,17.8765,11.8011,22.80216666666667,8.364510000000001,15.1425
25.37251,54.7147,11.059989999999999,24.835166666666666,9.14568,20.601333333333333,20.882060000000003,39.59216666666667,9.35304,21.6665,9.43024,21.09
25.37033,54.76116,10.50338,18.4055,10.83027,18.44633333333333,25.1331,38.67366666666667,11.03762,19.511333333333333,13.46932,24.038
25.28938,54.69426,3.90981,8.2155,0.92418,2.3985,15.68774,23.978333333333335,0.81552,2.1651666666666665,4.661689999999999,9.517333333333333
25.26754,54.60458,15.88212,25.913666666666664,12.29636,21.296499999999998,9.79955,12.257166666666667,13.371049999999999,23.155666666666665,9.93446,15.496
25.08986,54.64273,17.371830000000003,25.997666666666664,16.38553,27.3565,6.726850000000001,10.192666666666666,17.627689999999998,26.286166666666666,14.76244,24.4825
25.29435,54.66051,8.559299999999999,16.972166666666666,4.97354,12.354999999999999,15.70276,23.948833333333333,6.048229999999999,14.214166666666667,2.61165,6.5545
25.08978,54.63872,17.94776,27.456666666666667,16.96145,28.8155,7.302770000000001,11.651666666666667,18.203619999999997,27.745166666666666,15.338370000000001,25.941666666666666
25.08937,54.63867,17.92437,27.363166666666665,16.93807,28.721999999999998,7.27939,11.558166666666667,18.180229999999998,27.651666666666664,15.31498,25.848166666666668
25.08953,54.63888,17.92697,27.37366666666667,16.940669999999997,28.732333333333333,7.2819899999999995,11.5685,18.18284,27.662,15.31758,25.8585
25.08979,54.63883,17.944599999999998,27.444166666666668,16.958299999999998,28.802833333333336,7.29962,11.639000000000001,18.200470000000003,27.7325,15.33521,25.929
25.08958,54.63833,17.95221,27.30183333333333,16.96591,28.660500000000003,7.30723,11.496666666666666,18.208080000000002,27.59016666666667,15.34283,25.78666666666667
25.08969,54.63852,17.949099999999998,27.462,16.962790000000002,28.820833333333333,7.30411,11.657,18.20496,27.7505,15.339709999999998,25.947
25.08903,54.63733,18.06891,27.535,17.0826,28.893833333333337,7.42392,11.729999999999999,18.32477,27.823500000000003,15.459520000000001,26.02
25.08934,54.63789,18.00352,27.404333333333334,17.017220000000002,28.763166666666667,7.35854,11.599333333333334,18.25939,27.692833333333333,15.394129999999999,25.889166666666664
25.08923,54.63771,18.02474,27.446833333333334,17.038439999999998,28.8055,7.37976,11.641666666666667,18.2806,27.735166666666665,15.41535,25.93166666666667
25.08948,54.63814,17.9743,27.346,16.988,28.704666666666665,7.32932,11.540833333333333,18.23016,27.634333333333334,15.36491,25.83083333333333
25.08892,54.63714,19.60907,29.653000000000002,18.62277,31.011833333333335,8.96409,13.848,19.864939999999997,29.9415,16.99968,28.137999999999998
